sub,network,corr
sub-157336,Occipital,1.0
sub-157336,Ventral,0.8682431421244592
sub-157336,Dorsal,0.8762805755343567
sub-157336,Lateral,-0.37796447300922736
sub-158035,Occipital,-0.30151134457776363
sub-158035,Ventral,0.761425832910834
sub-158035,Dorsal,0.7495881705202841
sub-158035,Lateral,0.5291502622129183
sub-158136,Occipital,1.0
sub-158136,Ventral,0.8219949365267865
sub-158136,Dorsal,0.6983870967741934
sub-158136,Lateral,-0.8552359741197582
sub-159239,Occipital,1.0
sub-159239,Ventral,-0.8
sub-159239,Dorsal,0.27051002878946223
sub-159239,Lateral,-0.8552359741197582
sub-162935,Occipital,-0.30151134457776363
sub-162935,Ventral,0.9773555548504416
sub-162935,Dorsal,0.8554851481526009
sub-162935,Lateral,-0.07559289460184543
sub-164131,Occipital,-0.30151134457776363
sub-164131,Ventral,0.4949747468305833
sub-164131,Dorsal,0.07777137710478188
sub-164131,Lateral,0.21380899352993954
sub-164636,Occipital,-0.30151134457776363
sub-164636,Ventral,0.41208169184606713
sub-164636,Dorsal,0.29415962698509046
sub-164636,Lateral,-0.8552359741197582
sub-165436,Occipital,-0.30151134457776363
sub-165436,Ventral,-0.4533195363651629
sub-165436,Dorsal,0.28949455652619394
sub-165436,Lateral,-0.08233869695926177
sub-167036,Occipital,-0.30151134457776363
sub-167036,Ventral,0.4931969619160719
sub-167036,Dorsal,0.26342978421855223
sub-167036,Lateral,-0.5976143046671969
sub-167440,Occipital,-0.30151134457776363
sub-167440,Ventral,0.7000000000000001
sub-167440,Dorsal,0.4123248796464296
sub-167440,Lateral,-0.24659848095803594
sub-169040,Occipital,-0.30151134457776363
sub-169040,Ventral,0.39391929857916763
sub-169040,Dorsal,0.44662980013443065
sub-169040,Lateral,-0.42426406871192845
sub-169343,Occipital,-0.30151134457776363
sub-169343,Ventral,0.8534918135881967
sub-169343,Dorsal,0.4199654363658222
sub-169343,Lateral,-0.15404159684748153
sub-169444,Occipital,-0.30151134457776363
sub-169444,Ventral,0.08219949365267867
sub-169444,Dorsal,0.7092268983168146
sub-169444,Lateral,0.11952286093343935
sub-169747,Occipital,-0.30151134457776363
sub-169747,Ventral,0.8219949365267865
sub-169747,Dorsal,0.738174934982807
sub-169747,Lateral,0.6381723297967091
sub-171633,Occipital,-0.30151134457776363
sub-171633,Ventral,0.7226814919678111
sub-171633,Dorsal,0.802019509811106
sub-171633,Lateral,-0.8315218406203
sub-172130,Occipital,-0.30151134457776363
sub-172130,Ventral,-0.46358632497276536
sub-172130,Dorsal,0.7426106572325056
sub-172130,Lateral,0.07559289460184543
sub-173334,Occipital,1.0
sub-173334,Ventral,1.0
sub-173334,Dorsal,0.8554851481526007
sub-173334,Lateral,-0.37796447300922736
sub-175237,Occipital,-0.30151134457776363
sub-175237,Ventral,0.8435503831370605
sub-175237,Dorsal,0.4604186074841535
sub-175237,Lateral,-0.37796447300922736
sub-176542,Occipital,1.0
sub-176542,Ventral,0.8219949365267865
sub-176542,Dorsal,0.7205882352941175
sub-176542,Lateral,-0.11952286093343939
sub-177140,Occipital,-0.30151134457776363
sub-177140,Ventral,0.7554831017177897
