EVC,ventral,lateral,dorsal
0.8773463520339737,0.8323381840626288,0.8140018935141402,0.935782026105759
0.8943102558040326,0.820525291180817,0.8323858483784727,0.8265469230619583
0.950866190238778,0.8307809080680345,0.9044287192366873,0.9633619444431798
0.9488142646442173,0.8965104106698869,0.9289514290168425,0.9842134838824989
0.9088573194649417,0.8499910145324634,0.9018274240460338,0.8993457129966248
0.9408021809373915,0.8889921736606266,0.9193302934691537,0.8560476153838479
0.9088497000798906,0.8713271833696463,0.8878189801529505,0.8915918746434742
0.8902365803333031,0.7951355527194985,0.9027750281271706,0.9339123432234364
0.9051625529347751,0.8995259885704601,0.7893645488078244,0.9019130389850504
0.9479227780546466,0.8942780065295789,0.7996078084763983,0.8464779801679739
0.893784632484771,0.9107149423377674,0.8583846861158143,0.9049233333264858
0.8940455839797924,0.9012187276611432,0.8678079291237739,0.9421255850164548
0.780471998196573,0.8209321601189501,0.8060787029111361,0.8700252136186275
0.9305811892550476,0.9000098070944803,0.8813568816786413,0.946696059019083
0.8986092827298217,0.8394831129258215,0.9043982349206883,0.8944938550714286
0.7448282350770787,0.7762255030592028,0.8129795419992161,0.8953412843137398
0.9562850847896985,0.8939666404267937,0.7806478960141536,0.9204003637319872
0.8624868048282078,0.7960084315679032,0.8652492310755737,0.9295482664553073
0.9354904731355429,0.9110467218001977,0.9054069476322802,0.9405047537632278
0.8407222033663778,0.8403974038854665,0.817675880984127,0.9525733425453599
0.8075517040252705,0.7375079531141384,0.8297773448659668,0.7324195489008609
0.9160731298008103,0.8259326442482571,0.892306334262433,0.9654736918845387
0.9323767273757261,0.9107168873289808,0.9495935403326589,0.9032734909364478
0.8668127288671803,0.8909426371265626,0.8361878210120309,0.9028458289832517
0.8898424218515953,0.8752575246228208,0.8850664673592882,0.8545328048195867
0.842674705372591,0.753574375882465,0.7533762182270229,0.887450218474744
0.7833296805791554,0.7914611126377713,0.8051818906609794,0.7630035199781877
0.9339518322757735,0.8788247749415314,0.8764269135103945,0.9690713493928438
0.9020901161067877,0.8730784989669733,0.8758053132595562,0.8980907332719941
0.905084142745736,0.9097848550094205,0.8952142516713358,0.9268739158589069
