EVC,ventral,lateral,dorsal,overall
0.4351592603194056,0.20178839789133063,0.40253540299777146,0.6091062834715951,0.431086175422994
0.6622491679445695,0.5371700224411956,0.5804661785422506,0.7010151451938478,0.6211711232823515
0.7098693057655862,0.525522720822904,0.5538244900551756,0.5440736416627213,0.5877050232029909
0.8113098766942513,0.5868548971196675,0.5197336941429785,0.41939659849755784,0.5799017235089765
0.5086895377246285,0.4099617503673675,0.5561577099939801,0.2310502728077055,0.4396047815850758
0.761581323408837,0.24341565023470185,0.2939124635259917,0.302721643304197,0.4438098059448152
0.8328955595002031,0.6904068341956268,0.690179553760479,0.6182830412967888,0.7253110720154672
0.7021364318155635,0.6211965841528118,0.6331958091768901,0.5776804164645659,0.6312642489104306
0.6198429142748761,0.396499109598031,0.4369349502033631,0.1335963046073518,0.42641309641399044
0.818107387513776,0.6317890850454457,0.6074288747041378,0.6535322384814473,0.6790133614796279
0.7576362135552247,0.4803174614711665,0.6318690266215866,0.7569500492505061,0.6242149482691751
0.7253392906254393,0.19626472555772256,0.4965696739829418,0.47439787009659723,0.4624558507740924
0.7304753891981796,0.15808439436499674,0.7056795524876973,0.5372564597384293,0.557731816136572
0.8394699284731503,0.7125688669815824,0.6907806461309328,0.5595987247783801,0.679150266856097
0.8026449163555672,0.5684745735805669,0.47256942968057997,0.376003516670585,0.5734060178225845
0.7069877706112984,0.6156886139082127,0.6422005041620089,0.6545949002368158,0.6305894819117702
0.5888110316129669,0.6634785112359053,0.6035636089330736,0.4949422085950072,0.569043220103434
0.6016829546067841,0.04232109505512345,0.4787057717275942,0.6251780848732642,0.4967228824341518
0.641086343975568,0.6373771447479059,0.62238890700629,0.6329539251882269,0.631658082321962
0.6252245304064794,0.4689780459327685,0.5736367357122131,0.7206097122271724,0.5794655690566919
0.7663132764845768,0.6839760009084129,0.6430752471942157,0.21694726981799875,0.5957793435287022
0.8152898627770238,0.7079633424258066,0.6879812400149059,0.44741820789072784,0.6695897423006384
0.5050237928629925,0.16547755737471734,0.4394472400480943,0.6014330773059186,0.42274815576502245
0.6924003931750734,0.5700578731686997,0.3822975627058718,0.685241588545071,0.6089231364849901
0.7926197825597658,0.657688341762039,0.7150411938203176,0.6025102364165906,0.678598230986771
0.8439500864298282,0.7378431300438972,0.5767818717885637,0.6202406900676687,0.6991168039744268
0.6068262104332734,0.40867815176091293,0.36997520025296665,0.3262564846039131,0.47027756835024326
0.7583376820833262,0.5780555668751441,0.45567227087230044,0.7676844096768449,0.6623110538969628
0.8346546896682808,0.6155536599339018,0.6622700752520158,0.6665029973212289,0.69319461844731
0.66883522563272,0.3503701293902134,0.503454898795166,0.7267985690316514,0.5633919448296076
