overall,EVC,ventral,lateral,dorsal
0.5115918411026174,0.5123460807944333,0.42345544260613277,0.45980762387061436,0.6876835071868971
0.6436002574414487,0.6580136756828631,0.611275914147469,0.6388446109161368,0.6425683467452838
0.45650200057476376,0.39237911280488363,0.41777712656810856,0.5114021442857644,0.6651186666993065
0.4034525556315139,0.4276405987830602,0.479501836418236,0.26756324302138773,0.6064172668405847
0.47985913729022756,0.47930996512676377,0.38123559890807657,0.4373579384119288,0.6528951491994744
0.5560651272803624,0.6388605649099386,0.5703047572114266,0.4303109989202747,0.49463911513436226
0.4044573534196266,0.44972007027446936,0.36106662194171046,0.23939345464563236,0.48916477783339257
0.6015238991007779,0.6414550644288419,0.6419541145935892,0.5571838352683421,0.6729336271175246
0.6318433533687638,0.6581415354449457,0.6314523046140893,0.49726040974129504,0.6925798820207438
0.47048160974819014,0.5922144564251339,0.29553166903274225,0.3967808415418241,0.3876705074707502
0.652234461736363,0.667842179672273,0.6651092961359636,0.5407237104248855,0.7331760208847856
0.5867848355071418,0.5959752042970448,0.5275176890826038,0.5016165812918568,0.6916589591514009
0.28101261363511265,0.2903897044450952,0.039744729737332896,0.3547422831498812,0.427776465750447
0.5330129859986263,0.4726764648599978,0.5848901990488558,0.5563133972559356,0.6432089315434737
0.6248532723743656,0.5578308886141411,0.633536076167915,0.581489067871312,0.7732964096419105
0.5524005448288491,0.5733211116173609,0.4938831128708123,0.5212657905199318,0.7153952099199816
0.3920445362105264,0.6170555868133433,0.1351965218385339,0.08656150392399627,0.5668391024088606
0.4267400604143894,0.34895643129696174,0.40157156086120216,0.40797828567635175,0.5674881331602729
0.5871942030348586,0.6972689941834105,0.4596110224367093,0.4376581920500996,0.6068212093847285
0.5464619774621149,0.6128966586010915,0.36014049349333266,0.4937885099671949,0.7165001216240784
0.6734519153549641,0.7611522284615652,0.5849916635734849,0.5827001908203921,0.7081919377830317
0.3799411748217235,0.32117044416975443,0.27269223330557624,0.39879581098984074,0.610003704067441
0.4109115236576049,0.39411819758782657,0.21350134501128618,0.49758136684034676,0.35777054365537936
0.5111221152916421,0.6518426333512639,0.30498285028671773,0.3704179925150936,0.6389222979087988
0.5403617257036077,0.5352420033875914,0.33979790319644415,0.5226186893407281,0.6752559994280938
0.4059546842612918,0.48795985720803675,0.14951640559031465,0.3975198022084762,0.6331834656516333
0.4419924408450797,0.49836166092790124,0.2904694010419909,0.3350475645114176,0.6425654516544489
0.5401881844894417,0.6491456691051432,0.24385218975461453,0.43116918903511015,0.6563151060154733
0.5206276255282243,0.49617755496359156,0.5933605522563836,0.5223509125576911,0.46985968561414454
0.3241359662150996,0.49586812614550985,0.0981872850207211,0.033943207780370584,0.5138995756174485
