label,V1v,V1d,V2v,V2d,V3v,V3d,hV4,VO1,VO2,PHC1,PHC2,LO1,LO2,hMT,MST,V3a,V3b,IPS0,IPS1,IPS2,IPS3,IPS4,IPS5,SPL1
V1v,1.0,0.6889927670264753,0.6515714356510022,0.562955402298402,0.49272968642797044,0.49973435824835144,0.3233753157467055,0.3726275452642196,0.3626515788844815,0.3094518700081029,0.2820569617472178,0.393270767526145,0.37675313612945216,0.38050175107535056,0.4200554311688551,0.40184276888502707,0.49082434823503535,0.43185227152185557,0.3835045642564844,0.29517717256950005,0.29660510940426743,0.30345085142747924,0.30943191504802514,0.23893717959864952
V1d,0.6889927670264754,1.0,0.5436823324255692,0.6618800416564768,0.4574251544513338,0.5886201023606752,0.3157205420991043,0.28296439066160695,0.2971555558619011,0.2524393182889491,0.2712730419141236,0.37600357961508896,0.41878535878661116,0.39910856122949695,0.45577389639842886,0.4484128956293114,0.5420019077554112,0.4854233121567606,0.4181572019956718,0.3135199706339692,0.28027880908300273,0.32144260670326674,0.34151335533509575,0.2515655232667343
V2v,0.6515714356510021,0.5436823324255692,1.0,0.43921928958850726,0.5186536487690425,0.38998136292700614,0.33027397785948287,0.3789578493634699,0.3844615586145387,0.34282889274858097,0.2793098911589226,0.36667861654643186,0.31931740465542574,0.3302286318684161,0.3221622502408127,0.3078455447889751,0.42581978777388907,0.409499772541544,0.31966629777819144,0.29215634139888014,0.28347831450032784,0.2977014519479483,0.30605410977662145,0.24875046004056212
V2d,0.5629554022984022,0.6618800416564768,0.43921928958850726,1.0,0.3305493904555784,0.6056500064645359,0.2450502222816272,0.2397465866101226,0.22167041291756923,0.2196274724298954,0.22775941674956646,0.340025652037767,0.4143689052432806,0.41448571105108656,0.4718239027348038,0.4345848920543567,0.5330058571318573,0.4387919517106633,0.3595266253013763,0.32900584432006497,0.2903180473720548,0.3007262831658977,0.31904229430218867,0.2416808245531492
V3v,0.49272968642797044,0.4574251544513338,0.5186536487690424,0.3305493904555784,1.0,0.36433281751053553,0.27382037298745243,0.36814878316387295,0.3914178085391334,0.33716888805885764,0.26496148611256626,0.3463670504318367,0.33146286523109836,0.30139958817260004,0.30363611218914466,0.32082284868123545,0.4060141245126968,0.3709142512651036,0.3054565276530967,0.2533754237300695,0.21946939795887976,0.25454532368056604,0.2598315862735389,0.2175330046012646
V3d,0.49973435824835155,0.5886201023606752,0.38998136292700614,0.6056500064645358,0.3643328175105356,1.0,0.2549725115496281,0.28979623817156275,0.20915812907781883,0.22099640894077605,0.21301546733848786,0.3025588777508364,0.42848843297625305,0.41262576496102876,0.4995011822502029,0.46676889973379115,0.5024858514282109,0.42970654135548625,0.3680551922238467,0.2993205228533615,0.28515458036794983,0.28714983518291337,0.3324354369476703,0.27007763364261483
hV4,0.3233753157467054,0.3157205420991044,0.33027397785948287,0.24505022228162726,0.27382037298745243,0.2549725115496281,1.0,0.2338943669136432,0.22576001052582467,0.16495663630994015,0.11406243942831405,0.21806081239100986,0.19804131814486114,0.20468751505303934,0.22322112795668592,0.22127236442235498,0.21360434264198597,0.23272612856656405,0.2151635748107607,0.16596000568480218,0.11678880648690265,0.14998794741725405,0.16653395687770428,0.1148386563171534
VO1,0.3726275452642196,0.282964390661607,0.3789578493634699,0.23974658661012255,0.368148783163873,0.28979623817156275,0.2338943669136432,1.0,0.3209077150052838,0.26666291422376004,0.21085223036129405,0.283888272467056,0.2850083090305732,0.26167164001097976,0.2411849917119482,0.2902114456396654,0.32581222657928754,0.3048671277551702,0.24350761314874958,0.2081933354045348,0.18531997235733205,0.2418135319888879,0.2333583635917818,0.1675854886537581
VO2,0.3626515788844815,0.2971555558619011,0.3844615586145387,0.22167041291756928,0.3914178085391334,0.20915812907781883,0.2257600105258247,0.3209077150052838,1.0,0.37671640217292557,0.2994311914842557,0.2804840443250296,0.32578342430064533,0.24050726710026238,0.25561876608447553,0.28094200363309135,0.349781467862724,0.3197055314061761,0.24898273008981658,0.2251353775162671,0.21852378577189607,0.22040121141416674,0.20940842175533486,0.1730445971611646
PHC1,0.3094518700081029,0.25243931828894906,0.34282889274858097,0.2196274724298954,0.33716888805885764,0.22099640894077605,0.1649566363099402,0.26666291422376004,0.37671640217292557,1.0,0.28923333916561716,0.2595775182466676,0.24896985392744497,0.21609981018145735,0.20663837303056534,0.22980274826926078,0.3003711621275939,0.3053615574158062,0.22536034960468154,0.2112270712777934,0.19710731517534213,0.22070490784772073,0.2059498227031995,0.1449961907964522
