predictor,outcome,corr,CI-low,CI-high
t1_cortex_corr,t2_pulvinar_corr,0.06032108015097603,0.056393494674793876,0.11722685507293093
t2_cortex_corr,t1_pulvinar_corr,0.09468211252182626,0.08188115605958188,0.1429921738971887
